AREA_PERIL_ID,LONGITUDE,LATITUDE
434330,1.82,48.62
434331,1.86,48.62
434332,1.9,48.62
434333,1.94,48.62
434334,1.98,48.62
434335,2.02,48.62
434336,2.06,48.62
434337,2.1,48.62
434338,2.14,48.62
434339,2.18,48.62
434340,2.22,48.62
434341,2.26,48.62
434342,2.3,48.62
434343,2.34,48.62
434344,2.38,48.62
434345,2.42,48.62
434346,2.46,48.62
434347,2.5,48.62
434348,2.54,48.62
434349,2.58,48.62
434350,2.62,48.62
434351,2.66,48.62
434352,2.7,48.62
434353,2.74,48.62
434354,2.78,48.62
434355,2.82,48.62
434356,2.86,48.62
435705,1.82,48.66
435706,1.86,48.66
435707,1.9,48.66
435708,1.94,48.66
435709,1.98,48.66
435710,2.02,48.66
435711,2.06,48.66
435712,2.1,48.66
435713,2.14,48.66
435714,2.18,48.66
435715,2.22,48.66
435716,2.26,48.66
435717,2.3,48.66
435718,2.34,48.66
435719,2.38,48.66
435720,2.42,48.66
435721,2.46,48.66
435722,2.5,48.66
435723,2.54,48.66
435724,2.58,48.66
435725,2.62,48.66
435726,2.66,48.66
435727,2.7,48.66
435728,2.74,48.66
435729,2.78,48.66
435730,2.82,48.66
435731,2.86,48.66
437081,1.82,48.7
437082,1.86,48.7
437083,1.9,48.7
437084,1.94,48.7
437085,1.98,48.7
437086,2.02,48.7
437087,2.06,48.7
437088,2.1,48.7
437089,2.14,48.7
437090,2.18,48.7
437091,2.22,48.7
437092,2.26,48.7
437093,2.3,48.7
437094,2.34,48.7
437095,2.38,48.7
437096,2.42,48.7
437097,2.46,48.7
437098,2.5,48.7
437099,2.54,48.7
437100,2.58,48.7
437101,2.62,48.7
437102,2.66,48.7
437103,2.7,48.7
437104,2.74,48.7
437105,2.78,48.7
437106,2.82,48.7
437107,2.86,48.7
438457,1.82,48.74
438458,1.86,48.74
438459,1.9,48.74
438460,1.94,48.74
438461,1.98,48.74
438462,2.02,48.74
438463,2.06,48.74
438464,2.1,48.74
438465,2.14,48.74
438466,2.18,48.74
438467,2.22,48.74
438468,2.26,48.74
438469,2.3,48.74
438470,2.34,48.74
438471,2.38,48.74
438472,2.42,48.74
438473,2.46,48.74
438474,2.5,48.74
438475,2.54,48.74
438476,2.58,48.74
438477,2.62,48.74
438478,2.66,48.74
438479,2.7,48.74
438480,2.74,48.74
438481,2.78,48.74
438482,2.82,48.74
438483,2.86,48.74
439834,1.82,48.78
439835,1.86,48.78
439836,1.9,48.78
439837,1.94,48.78
439838,1.98,48.78
439839,2.02,48.78
439840,2.06,48.78
439841,2.1,48.78
439842,2.14,48.78
439843,2.18,48.78
439844,2.22,48.78
439845,2.26,48.78
439846,2.3,48.78
439847,2.34,48.78
439848,2.38,48.78
439849,2.42,48.78
