"bin_index", "bin_from", "bin_to", "interpolation", "interval_type"
1, 0.000000, 0.000000, 0.000000, 1202
2, 0.000000, 0.001000, 0.000500, 1202
3, 0.001000, 0.001500, 0.001250, 1202
4, 0.001500, 0.002000, 0.001750, 1202
5, 0.002000, 0.005000, 0.003500, 1202
6, 0.005000, 0.010000, 0.007500, 1202
7, 0.010000, 0.050000, 0.030000, 1202
8, 0.050000, 0.100000, 0.075000, 1202
9, 0.100000, 0.300000, 0.200000, 1202
10, 0.300000, 0.500000, 0.400000, 1202
11, 0.500000, 0.600000, 0.550000, 1202
12, 0.600000, 0.700000, 0.650000, 1202
13, 0.700000, 0.800000, 0.750000, 1202
14, 0.800000, 1.000000, 0.900000, 1202
15, 1.000000, 1.200000, 1.100000, 1202
16, 1.200000, 1.300000, 1.250000, 1202
17, 1.300000, 1.400000, 1.350000, 1202
18, 1.400000, 1.500000, 1.450000, 1202
19, 1.500000, 1.600000, 1.550000, 1202
20, 1.600000, 1.700000, 1.650000, 1202
21, 1.700000, 2.000000, 1.850000, 1202
22, 2.000000, 2.200000, 2.100000, 1202
23, 2.200000, 2.300000, 2.250000, 1202
24, 2.300000, 2.400000, 2.350000, 1202
25, 2.400000, 2.600000, 2.500000, 1202
26, 2.600000, 2.900000, 2.750000, 1202
27, 2.900000, 3.000000, 2.950000, 1202
28, 3.000000, 3.300000, 3.150000, 1202
29, 3.300000, 3.500000, 3.400000, 1202
30, 3.500000, 3.800000, 3.650000, 1202
31, 3.800000, 4.000000, 3.900000, 1202
32, 4.000000, 4.200000, 4.100000, 1202
33, 4.200000, 4.500000, 4.350000, 1202
34, 4.500000, 4.600000, 4.550000, 1202
35, 4.600000, 4.700000, 4.650000, 1202
36, 4.700000, 5.000000, 4.850000, 1202
37, 5.000000, 5.500000, 5.250000, 1202
38, 5.500000, 5.700000, 5.600000, 1202
39, 5.700000, 6.000000, 5.850000, 1202
40, 6.000000, 6.400000, 6.200000, 1202
41, 6.400000, 6.500000, 6.450000, 1202
42, 6.500000, 6.900000, 6.700000, 1202
43, 6.900000, 7.000000, 6.950000, 1202
44, 7.000000, 7.300000, 7.150000, 1202
45, 7.300000, 7.500000, 7.400000, 1202
46, 7.500000, 7.600000, 7.550000, 1202
47, 7.600000, 8.000000, 7.800000, 1202
48, 8.000000, 8.200000, 8.100000, 1202
49, 8.200000, 8.500000, 8.350000, 1202
50, 8.500000, 8.800000, 8.650000, 1202
51, 8.800000, 9.000000, 8.900000, 1202
52, 9.000000, 9.300000, 9.150000, 1202
53, 9.300000, 9.500000, 9.400000, 1202
54, 9.500000, 10.000000, 9.750000, 1202
55, 10.000000, 10.800000, 10.400000, 1202
56, 10.800000, 11.500000, 11.150000, 1202
57, 11.500000, 11.800000, 11.650000, 1202
58, 11.800000, 12.600000, 12.200000, 1202
59, 12.600000, 13.300000, 12.950000, 1202
60, 13.300000, 13.500000, 13.400000, 1202
61, 13.500000, 14.000000, 13.750000, 1202
62, 14.000000, 14.200000, 14.100000, 1202
63, 14.200000, 15.000000, 14.600000, 1202
64, 15.000000, 16.000000, 15.500000, 1202
65, 16.000000, 16.900000, 16.450001, 1202
66, 16.900000, 17.000000, 16.950001, 1202
67, 17.000000, 17.799999, 17.400000, 1202
68, 17.799999, 18.000000, 17.900000, 1202
69, 18.000000, 18.500000, 18.250000, 1202
70, 18.500000, 19.000000, 18.750000, 1202
71, 19.000000, 20.000000, 19.500000, 1202
72, 20.000000, 21.000000, 20.500000, 1202
73, 21.000000, 22.000000, 21.500000, 1202
74, 22.000000, 23.000000, 22.500000, 1202
75, 23.000000, 24.000000, 23.500000, 1202
76, 24.000000, 25.000000, 24.500000, 1202
77, 25.000000, 26.000000, 25.500000, 1202
78, 26.000000, 27.000000, 26.500000, 1202
79, 27.000000, 28.000000, 27.500000, 1202
80, 28.000000, 29.000000, 28.500000, 1202
81, 29.000000, 30.000000, 29.500000, 1202
82, 30.000000, 31.000000, 30.500000, 1202
83, 31.000000, 32.000000, 31.500000, 1202
84, 32.000000, 33.000000, 32.500000, 1202
85, 33.000000, 34.000000, 33.500000, 1202
86, 34.000000, 35.000000, 34.500000, 1202
87, 35.000000, 37.000000, 36.000000, 1202
88, 37.000000, 38.000000, 37.500000, 1202
89, 38.000000, 39.000000, 38.500000, 1202
90, 39.000000, 40.500000, 39.750000, 1202
91, 40.500000, 41.000000, 40.750000, 1202
92, 41.000000, 43.000000, 42.000000, 1202
93, 43.000000, 43.500000, 43.250000, 1202
94, 43.500000, 44.000000, 43.750000, 1202
95, 44.000000, 45.000000, 44.500000, 1202
96, 45.000000, 46.000000, 45.500000, 1202
97, 46.000000, 47.000000, 46.500000, 1202
98, 47.000000, 48.000000, 47.500000, 1202
99, 48.000000, 49.000000, 48.500000, 1202
100, 49.000000, 50.000000, 49.500000, 1202
101, 50.000000, 51.000000, 50.500000, 1202
102, 51.000000, 52.000000, 51.500000, 1202
103, 52.000000, 53.000000, 52.500000, 1202
104, 53.000000, 54.000000, 53.500000, 1202
105, 54.000000, 55.000000, 54.500000, 1202
106, 55.000000, 56.000000, 55.500000, 1202
107, 56.000000, 57.000000, 56.500000, 1202
108, 57.000000, 58.000000, 57.500000, 1202
109, 58.000000, 59.000000, 58.500000, 1202
110, 59.000000, 60.000000, 59.500000, 1202
111, 60.000000, 60.500000, 60.250000, 1202
112, 60.500000, 61.000000, 60.750000, 1202
113, 61.000000, 62.000000, 61.500000, 1202
114, 62.000000, 63.000000, 62.500000, 1202
115, 63.000000, 64.000000, 63.500000, 1202
116, 64.000000, 65.000000, 64.500000, 1202
117, 65.000000, 66.000000, 65.500000, 1202
118, 66.000000, 67.000000, 66.500000, 1202
119, 67.000000, 68.000000, 67.500000, 1202
120, 68.000000, 69.000000, 68.500000, 1202
121, 69.000000, 70.000000, 69.500000, 1202
122, 70.000000, 71.000000, 70.500000, 1202
123, 71.000000, 72.000000, 71.500000, 1202
124, 72.000000, 73.000000, 72.500000, 1202
125, 73.000000, 74.000000, 73.500000, 1202
126, 74.000000, 75.000000, 74.500000, 1202
127, 75.000000, 76.000000, 75.500000, 1202
128, 76.000000, 77.000000, 76.500000, 1202
129, 77.000000, 78.000000, 77.500000, 1202
130, 78.000000, 78.500000, 78.250000, 1202
131, 78.500000, 79.000000, 78.750000, 1202
132, 79.000000, 80.000000, 79.500000, 1202
133, 80.000000, 81.000000, 80.500000, 1202
134, 81.000000, 82.000000, 81.500000, 1202
135, 82.000000, 83.000000, 82.500000, 1202
136, 83.000000, 84.000000, 83.500000, 1202
137, 84.000000, 84.099998, 84.050003, 1202
138, 84.099998, 84.800003, 84.449997, 1202
139, 84.800003, 85.000000, 84.900002, 1202
140, 85.000000, 85.500000, 85.250000, 1202
141, 85.500000, 86.000000, 85.750000, 1202
142, 86.000000, 86.099998, 86.050003, 1202
143, 86.099998, 86.500000, 86.300003, 1202
144, 86.500000, 86.800003, 86.650002, 1202
145, 86.800003, 87.000000, 86.900002, 1202
146, 87.000000, 88.000000, 87.500000, 1202
147, 88.000000, 88.500000, 88.250000, 1202
148, 88.500000, 89.000000, 88.750000, 1202
149, 89.000000, 90.000000, 89.500000, 1202
150, 90.000000, 91.000000, 90.500000, 1202
151, 91.000000, 91.500000, 91.250000, 1202
152, 91.500000, 92.000000, 91.750000, 1202
153, 92.000000, 93.000000, 92.500000, 1202
154, 93.000000, 94.000000, 93.500000, 1202
155, 94.000000, 95.000000, 94.500000, 1202
156, 95.000000, 96.000000, 95.500000, 1202
157, 96.000000, 96.500000, 96.250000, 1202
158, 96.500000, 97.000000, 96.750000, 1202
159, 97.000000, 97.500000, 97.250000, 1202
160, 97.500000, 98.000000, 97.750000, 1202
161, 98.000000, 98.500000, 98.250000, 1202
162, 98.500000, 98.900002, 98.699997, 1202
163, 98.900002, 99.000000, 98.949997, 1202
164, 99.000000, 99.300003, 99.150002, 1202
165, 99.300003, 99.500000, 99.400002, 1202
166, 99.500000, 99.699997, 99.599998, 1202
167, 99.699997, 99.900002, 99.800003, 1202
168, 99.900002, 99.989998, 99.945000, 1202
169, 99.989998, 99.999001, 99.994499, 1202
170, 99.999001, 100.000000, 99.999496, 1202
171, 100.000000, 100.000000, 100.000000, 1202
