BIN_INDEX, BIN_FROM, BIN_TO, INTERPOLATION, INTERVAL_TYPE
1,  0.000, 0.100, 0.050, 1202
2,  0.100, 0.200, 0.150, 1202
3,  0.200, 0.300, 0.250, 1202
4,  0.300, 0.400, 0.350, 1202
5,  0.400, 0.500, 0.450, 1202
6,  0.500, 0.600, 0.550, 1202
7,  0.600, 0.700, 0.650, 1202
8,  0.700, 0.800, 0.750, 1202
9,  0.800, 0.900, 0.850, 1202
10,  0.900, 1.000, 0.950, 1202
11,  1.000, 1.100, 1.050, 1202
12,  1.100, 1.200, 1.150, 1202
13,  1.200, 1.300, 1.250, 1202
14,  1.300, 1.400, 1.350, 1202
15,  1.400, 1.500, 1.450, 1202
16,  1.500, 1.600, 1.550, 1202
17,  1.600, 1.700, 1.650, 1202
18,  1.700, 1.800, 1.750, 1202
19,  1.800, 1.900, 1.850, 1202
20,  1.900, 2.000, 1.950, 1202
21,  2.000, 2.100, 2.050, 1202
22,  2.100, 2.200, 2.150, 1202
23,  2.200, 2.300, 2.250, 1202
24,  2.300, 2.400, 2.350, 1202
25,  2.400, 2.500, 2.450, 1202
26,  2.500, 2.600, 2.550, 1202
27,  2.600, 2.700, 2.650, 1202
28,  2.700, 2.800, 2.750, 1202
29,  2.800, 2.900, 2.850, 1202
30,  2.900, 3.000, 2.950, 1202
31,  3.000, 3.100, 3.050, 1202
32,  3.100, 3.200, 3.150, 1202
33,  3.200, 3.300, 3.250, 1202
34,  3.300, 3.400, 3.350, 1202
35,  3.400, 3.500, 3.450, 1202
36,  3.500, 3.600, 3.550, 1202
37,  3.600, 3.700, 3.650, 1202
38,  3.700, 3.800, 3.750, 1202
39,  3.800, 3.900, 3.850, 1202
40,  3.900, 4.000, 3.950, 1202
41,  4.000, 4.100, 4.050, 1202
42,  4.100, 4.200, 4.150, 1202
43,  4.200, 4.300, 4.250, 1202
44,  4.300, 4.400, 4.350, 1202
45,  4.400, 4.500, 4.450, 1202
46,  4.500, 4.600, 4.550, 1202
47,  4.600, 4.700, 4.650, 1202
48,  4.700, 4.800, 4.750, 1202
49,  4.800, 4.900, 4.850, 1202
50,  4.900, 5.000, 4.950, 1202
51,  5.000, 5.100, 5.050, 1202
52,  5.100, 5.200, 5.150, 1202
53,  5.200, 5.300, 5.250, 1202
54,  5.300, 5.400, 5.350, 1202
55,  5.400, 5.500, 5.450, 1202
56,  5.500, 5.600, 5.550, 1202
57,  5.600, 5.700, 5.650, 1202
58,  5.700, 5.800, 5.750, 1202
59,  5.800, 5.900, 5.850, 1202
60,  5.900, 6.000, 5.950, 1202
61,  6.000, 6.100, 6.050, 1202
62,  6.100, 6.200, 6.150, 1202
63,  6.200, 6.300, 6.250, 1202
64,  6.300, 6.400, 6.350, 1202
65,  6.400, 6.500, 6.450, 1202
66,  6.500, 6.600, 6.550, 1202
67,  6.600, 6.700, 6.650, 1202
68,  6.700, 6.800, 6.750, 1202
69,  6.800, 6.900, 6.850, 1202
70,  6.900, 7.000, 6.950, 1202
71,  7.000, 7.100, 7.050, 1202
72,  7.100, 7.200, 7.150, 1202
73,  7.200, 7.300, 7.250, 1202
74,  7.300, 7.400, 7.350, 1202
75,  7.400, 7.500, 7.450, 1202
76,  7.500, 7.600, 7.550, 1202
