event_id,period_no,occ_date_id
76,2,4291251
131,2,11150352
136,2,12080311
139,2,12120355
141,2,12211623
150,3,1072234
183,3,5211037
203,3,7200929
208,3,8050828
224,3,9181539
233,3,10150041
253,4,1010828
269,4,2132028
274,4,2181159
299,4,5080142
301,4,5181835
323,4,8031209
337,4,9171606
359,4,11110124
398,5,5012025
414,5,7142303
425,5,9072158
430,5,9250807
439,5,11120025
447,5,12110812
456,5,12280434
543,6,11091620
562,7,2152323
592,7,5241446
605,7,7140352
615,7,8200450
649,7,12211133
655,8,1200443
682,8,3220742
696,8,4221837
698,8,5030428
727,8,8051607
734,8,9220730
779,9,3030352
783,9,3112053
792,9,4030240
802,9,4181233
811,9,5151634
825,9,7150536
838,9,7311233
861,9,10150428
877,9,12141854
885,10,1081334
887,10,1202131
893,10,2020820
901,10,2230005
920,10,4260515
924,10,5122016
927,10,5190514
950,10,8060143
959,10,8221939
973,10,11060701
989,10,12231304
1005,11,3051729
1020,11,5220859
1063,11,10071036
1084,11,12272147
1086,12,1010706
1099,12,2160117
1108,12,3210646
1111,12,4090335
1128,12,6100137
1129,12,6140716
1155,12,9020729
1170,12,11021913
1178,12,11281221
1189,12,12121604
1206,13,2142054
1209,13,2162252
1211,13,3021007
1217,13,3142155
1230,13,4110336
1247,13,5130616
1255,13,6111049
1278,13,10220437
1279,13,10240023
1280,13,10262121
1294,13,12222313
1315,14,2150450
1331,14,3300843
1340,14,4191156
1349,14,7020934
1353,14,7141033
1376,14,10012039
1380,14,10262113
1381,14,11042157
1400,15,1250034
1434,15,6050628
1451,15,7171704
1454,15,7240217
1497,15,12161253
1532,16,4081902
1541,16,4261310
1573,16,8271533
1580,16,9051609
1638,17,2101050
1665,17,5191733
1671,17,6102348
1725,17,11231205
1738,18,1022359
1799,18,8232212
1825,18,12021406
1851,19,3160733
1853,19,3220740
1857,19,4110226
1873,19,6060638
1921,19,12080900
1935,20,2081356
1942,20,3190707
1945,20,3291302
1975,20,6240851
1978,20,6282142
1989,20,8080710
1993,20,8120535
2028,20,12181954
2040,21,2171220
2050,21,4031923
2062,21,5040824
2070,21,6050124
2073,21,6160804
2091,21,9022144
2094,21,9260102
2101,21,10181043
2108,21,11241556
2114,21,12210930
2119,22,1031046
2125,22,1130619
2143,22,3221233
2177,22,7230158
2181,22,8081034
