ACCNTNUM,LOCNUM,LATITUDE,LONGITUDE,POSTCODE,ADDRMATCH,STATE,STATECODE,COUNTY,COUNTYCODE,CITY,CITYCODE,COUNTRY,CNTRYSCHEME,CNTRYCODE,BLDGSCHEME,BLDGCLASS,OCCSCHEME,OCCTYPE,NUMBLDGS,EQCV1VAL,EQCV1VCUR,EQCV1DED,EQCV1DCUR,EQCV1LIMIT,EQCV1LCUR,EQCV2VAL,EQCV2VCUR,EQCV2DED,EQCV2DCUR,EQCV2LIMIT,EQCV2LCUR,EQSITELIM,EQSITELCUR,EQSITEDED,EQSITEDCUR,EQCOMBINEDLIM,EQCOMBINEDLCUR,EQCOMBINEDDED,EQCOMBINEDDCUR,COND1TYPE,COND1NAME,COND1LIMIT,COND1DEDUCTIBLE
AEEQ_AbuD_flat_com__noYB_f_buil,1,24.4539,54.3773,XXX,0,0,0,0,0,ABU DHABI,,AE,0,AE,RMS,1A,ATC,5,1,40000000,USD,0.01,USD,0,USD,60000000,USD,0.01,USD,0,USD,0,USD,0,USD,0,USD,0,USD,XXX,XXX,0,0
AEEQ_AbuD_flat_res__noYB_f_buil,1,24.4539,54.3773,XXX,0,0,0,0,0,ABU DHABI,,AE,0,AE,RMS,1A,ATC,22,1,60000000,USD,0.01,USD,,USD,40000000,USD,0.01,USD,0,USD,0,USD,0,USD,0,USD,0,USD,XXX,XXX,0,0
AEEQ_FlatCB_ForMZ,2,24.4539,54.3773,XXX,0,0,0,0,0,ABU DHABI,,AE,0,AE,RMS,1,ATC,3,1,100000000,USD,0.01,USD,,USD,0,USD,0,USD,0,USD,0,USD,0,USD,0,USD,0,USD,XXX,XXX,0,0
AEEQ_FlatRB_ForMZ,2,24.4539,54.3773,XXX,0,0,0,0,0,ABU DHABI,,AE,0,AE,RMS,1A,ATC,22,1,100000000,USD,0.01,USD,,USD,0,USD,0,USD,0,USD,0,USD,0,USD,0,USD,0,USD,XXX,XXX,0,0
ForMZ__AEEQ_AbuCB,1,24.4539,54.3773,XXX,0,0,0,0,0,ABU DHABI,,AE,0,AE,RMS,1A,ATC,5,1,100000000,USD,0.01,USD,,USD,0,USD,0,USD,0,USD,0,USD,0,USD,0,USD,0,USD,XXX,XXX,0,0
ForMZ__AEEQ_AbuRB,1,24.4539,54.3773,XXX,0,0,0,0,0,ABU DHABI,,AE,0,AE,RMS,1A,ATC,22,1,100000000,USD,0.01,USD,,USD,0,USD,0,USD,0,USD,0,USD,0,USD,0,USD,0,USD,XXX,XXX,0,0
ForMZ__AEEQ_bookCOM,2,24.4539,54.3773,XXX,0,0,0,0,0,ABU DHABI,,AE,0,AE,RMS,1A,ATC,5,1,1.39E+11,USD,0.01,USD,,USD,0,USD,0,USD,0,USD,0,USD,0,USD,0,USD,0,USD,XXX,XXX,0,0
ForMZ__AEEQ_bookCOM,9,24.4539,54.3773,XXX,0,0,0,0,0,ABU DHABI,,AE,0,AE,RMS,1A,ATC,5,1,0,USD,0,USD,,USD,2.09E+11,USD,0.01,USD,0,USD,0,USD,0,USD,0,USD,0,USD,XXX,XXX,0,0
ForMZ__AEEQ_bookRES,2,24.4539,54.3773,XXX,0,0,0,0,0,ABU DHABI,,AE,0,AE,RMS,1A,ATC,22,1,2.09E+11,USD,0.01,USD,,USD,0,USD,0,USD,0,USD,0,USD,0,USD,0,USD,0,USD,XXX,XXX,0,0
ForMZ__AEEQ_bookRES,9,24.4539,54.3773,XXX,0,0,0,0,0,ABU DHABI,,AE,0,AE,RMS,1A,ATC,22,1,0,USD,0,USD,,USD,1.39E+11,USD,0.01,USD,0,USD,0,USD,0,USD,0,USD,0,USD,XXX,XXX,0,0
