ACCNTNUM,LOCNUM,POSTALCODE,STATECODE,COUNTYCODE,COUNTRY,CNTRYCODE,LATITUDE,LONGITUDE,BLDGSCHEME,BLDGCLASS,OCCSCHEME,OCCTYPE,YEARBUILT,YEARUPGRAD,NUMSTORIES,NUMBLDGS,FLOORAREA,WSCV1VAL,WSCV2VAL,WSCV3VAL,WSCV4VAL,WSCV5VAL,WSCV6VAL,WSCV7VAL,WSCV8VAL,WSCV9VAL,WSCV10VAL,WSCV1LIMIT,WSCV2LIMIT,WSCV3LIMIT,WSCV4LIMIT,WSCV5LIMIT,WSCV6LIMIT,WSCV7LIMIT,WSCV8LIMIT,WSCV9LIMIT,WSCV10LIMIT,WSCV1DED,WSCV2DED,WSCV3DED,WSCV4DED,WSCV5DED,WSCV6DED,WSCV7DED,WSCV8DED,WSCV9DED,WSCV10DED,WSSITELIM,WSSITEDED,WSCOMBINEDLIM,WSCOMBINEDDED
11111,1,0,0,0,0,0,48.9894,2.4801,RMS,3,ATC,0,1900,1900,2,1,0,104597,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11111,2,0,0,0,0,0,49.0143,2.3236,RMS,0,ATC,0,1900,1900,2,1,0,52713,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11111,3,0,0,0,0,0,48.8047,2.3789,RMS,2,ATC,0,1900,1900,2,1,0,84976,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11111,4,0,0,0,0,0,48.7262,2.3683,RMS,6,ATC,0,1900,1900,2,1,0,145548,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11111,5,0,0,0,0,0,48.7911,2.8191,RMS,6,ATC,0,1900,1900,2,1,0,145489,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11111,6,0,0,0,0,0,48.759,2.3848,RMS,4,ATC,0,1900,1900,2,1,0,120670,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11111,7,0,0,0,0,0,48.9873,2.5498,RMS,1,ATC,0,1900,1900,2,1,0,71853,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11111,8,0,0,0,0,0,48.7151,1.8562,RMS,4,ATC,0,1900,1900,2,1,0,111598,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11111,9,0,0,0,0,0,48.7605,2.1076,RMS,5,ATC,0,1900,1900,2,1,0,133376,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11111,10,0,0,0,0,0,48.8583,2.4739,RMS,5,ATC,0,1900,1900,2,1,0,133062,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11111,11,0,0,0,0,0,49.1402,2.7172,RMS,5,ATC,0,1900,1900,2,1,0,129170,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11111,12,0,0,0,0,0,49.0015,2.1568,RMS,0,ATC,0,1900,1900,2,1,0,52283,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11111,13,0,0,0,0,0,48.7453,2.4167,RMS,2,ATC,0,1900,1900,2,1,0,75918,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11111,14,0,0,0,0,0,49.0095,2.6168,RMS,5,ATC,0,1900,1900,2,1,0,131015,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11111,15,0,0,0,0,0,48.8816,1.9671,RMS,1,ATC,0,1900,1900,2,1,0,58691,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11111,16,0,0,0,0,0,48.9344,1.868,RMS,0,ATC,0,1900,1900,2,1,0,56731,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11111,17,0,0,0,0,0,48.9337,2.4036,RMS,3,ATC,0,1900,1900,2,1,0,92949,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11111,18,0,0,0,0,0,48.9112,2.1328,RMS,5,ATC,0,1900,1900,2,1,0,137633,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11111,19,0,0,0,0,0,48.8352,2.3622,RMS,6,ATC,0,1900,1900,2,1,0,145046,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11111,20,0,0,0,0,0,49.0871,2.0446,RMS,1,ATC,0,1900,1900,2,1,0,65353,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
